id,text_to_embed
dtmi:digitaltwins:ngsi_ld:cim:energy:PhaseTapChanger;1,"PhaseTapChanger(Phase tap changer associated with this transformer end.) has the following children:PhaseTapChangerTabular(Describes a tap changer with a table defining the relation between the tap step and the phase angle difference across the transformer. ), PhaseTapChangerLinear(Describes a tap changer with a linear relation between the tap step and the phase angle difference across the transformer. This is a mathematical model that is an approximation of a real phase tap changer.
The phase angle is computed as stepPhaseShiftIncrement times the tap position.
The voltage magnitude of both sides is the same.), is connected to:TransformerEnd(A conducting connection point of a power transformer. It corresponds to a physical transformer winding terminal.  In earlier CIM versions, the TransformerWinding class served a similar purpose, but this class is more flexible because it associates to terminal but is not a specialization of ConductingEquipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:ReactiveCapabilityCurve;1,"InitialReactiveCapabilityCurve(The default reactive capability curve for use by a synchronous machine.), is connected to:EquivalentInjection(The equivalent injection using this reactive capability curve.), SynchronousMachine(An electromechanical device that operates with shaft rotating synchronously with the network. It is a single machine operating either as a generator or synchronous condenser or pump.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:EquivalentInjection;1,EquivalentInjection(The equivalent injection using this reactive capability curve.)
dtmi:digitaltwins:ngsi_ld:cim:energy:SynchronousMachine;1,"SynchronousMachine(An electromechanical device that operates with shaft rotating synchronously with the network. It is a single machine operating either as a generator or synchronous condenser or pump.), is connected to:InitialReactiveCapabilityCurve(The default reactive capability curve for use by a synchronous machine.), SynchronousMachineKind(Synchronous machine type.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:TapSchedule;1,"TapSchedules, is connected to:TapChanger(Mechanism for changing transformer winding tap positions.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:SeasonDayTypeSchedule;1,"SeasonDayTypeSchedule(A time schedule covering a 24 hour period, with curve data for a specific type of season and day.) has the following children:SwitchSchedule(A schedule of switch positions.  If RegularTimePoint.value1 is 0, the switch is open.  If 1, the switch is closed.  ), RegulationSchedule(Schedule for this regulating control.), TapSchedules, is connected to:DayType, Season"
dtmi:digitaltwins:ngsi_ld:cim:energy:TapChanger;1,"TapChanger(Mechanism for changing transformer winding tap positions.) has the following children:RatioTapChanger(Ratio tap changer associated with this transformer end.), PhaseTapChanger(Phase tap changer associated with this transformer end.), is connected to:TapChangerControl, TapSchedules"
dtmi:digitaltwins:ngsi_ld:cim:energy:Junction;1,Junction(A point where one or more conducting equipments are connected with zero resistance.)
dtmi:digitaltwins:ngsi_ld:cim:energy:RegulatingCondEq;1,"RegulatingCondEq(The equipment that participates in this regulating control scheme.) has the following children:PowerElectronicsConnection(A power electronics unit has a connection to the AC network.), RotatingMachine(A synchronous machine may operate as a generator and as such becomes a member of a generating unit.), StaticVarCompensator(A facility for providing variable and controllable shunt reactive power. The SVC typically consists of a stepdown transformer, filter, thyristor-controlled reactor, and thyristor-switched capacitor arms.

The SVC may operate in fixed MVar output mode or in voltage control mode. When in voltage control mode, the output of the SVC will be proportional to the deviation of voltage at the controlled bus from the voltage setpoint.  The SVC characteristic slope defines the proportion.  If the voltage at the contro), ShuntCompensator(A shunt capacitor or reactor or switchable bank of shunt capacitors or reactors. A section of a shunt compensator is an individual capacitor or reactor. A negative value for bPerSection indicates that the compensator is a reactor. ShuntCompensator is a single terminal device.  Ground is implied.), is connected to:RegulatingControl(Specifies a set of equipment that works together to control a power system quantity such as voltage or flow. 
Remote bus voltage control is possible by specifying the controlled terminal located at some place remote from the controlling equipment.
The specified terminal shall be associated with the connectivity node of the controlled point.  The most specific subtype of RegulatingControl shall be used in case such equipment participate in the control, e.g. TapChangerControl for tap changers.
For flow contro)"
dtmi:digitaltwins:ngsi_ld:cim:energy:RegulationSchedule;1,"RegulationSchedule(Schedule for this regulating control.), is connected to:RegulatingControl(Specifies a set of equipment that works together to control a power system quantity such as voltage or flow. 
Remote bus voltage control is possible by specifying the controlled terminal located at some place remote from the controlling equipment.
The specified terminal shall be associated with the connectivity node of the controlled point.  The most specific subtype of RegulatingControl shall be used in case such equipment participate in the control, e.g. TapChangerControl for tap changers.
For flow contro)"
dtmi:digitaltwins:ngsi_ld:cim:energy:RegulatingControlModeKind;1,mode(The regulating control mode presently available.  This specification allows for determining the kind of regulation without need for obtaining the units from a schedule.)
dtmi:digitaltwins:ngsi_ld:cim:energy:RatioTapChangerTable;1,"RatioTapChangerTable(The tap ratio table for this ratio  tap changer.), is connected to:RatioTapChanger(Ratio tap changer associated with this transformer end.), RatioTapChangerTablePoint(Describes each tap step in the ratio tap changer tabular curve.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:RatioTapChanger;1,"RatioTapChanger(Ratio tap changer associated with this transformer end.), is connected to:RatioTapChangerTable(The tap ratio table for this ratio  tap changer.), TransformerEnd(A conducting connection point of a power transformer. It corresponds to a physical transformer winding terminal.  In earlier CIM versions, the TransformerWinding class served a similar purpose, but this class is more flexible because it associates to terminal but is not a specialization of ConductingEquipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:RatioTapChangerTablePoint;1,"RatioTapChangerTablePoint(Describes each tap step in the ratio tap changer tabular curve.), is connected to:RatioTapChangerTable(The tap ratio table for this ratio  tap changer.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:DCNode;1,DCNodes(The DC nodes contained in the DC equipment container.)
dtmi:digitaltwins:ngsi_ld:cim:energy:RotatingMachine;1,"RotatingMachine(A synchronous machine may operate as a generator and as such becomes a member of a generating unit.) has the following children:AsynchronousMachine(A rotating machine whose shaft rotates asynchronously with the electrical field.  Also known as an induction machine with no external connection to the rotor windings, e.g. squirrel-cage induction machine.), SynchronousMachine(An electromechanical device that operates with shaft rotating synchronously with the network. It is a single machine operating either as a generator or synchronous condenser or pump.), is connected to:HydroPumps(The hydro pump may be a member of a pumped storage plant or a pump for distributing water.), GeneratingUnit(A single or set of synchronous machines for converting mechanical power into alternating-current power. For example, individual machines within a set may be defined for scheduling purposes while a single control signal is derived for the set. In this case there would be a GeneratingUnit for each member of the set and an additional GeneratingUnit corresponding to the set.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:SynchronousMachineKind;1,SynchronousMachineKind(Synchronous machine type.)
dtmi:digitaltwins:ngsi_ld:cim:energy:EnergyConsumer;1,"EnergyConsumer(Generic user of energy - a  point of consumption on the power system model.
EnergyConsumer.pfixed, .qfixed, .pfixedPct and .qfixedPct have meaning only if there is no LoadResponseCharacteristic associated with EnergyConsumer or if LoadResponseCharacteristic.exponentModel is set to False.), is connected to:LoadResponse(The load response characteristic of this load.  If missing, this load is assumed to be constant power.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:LoadResponseCharacteristic;1,"LoadResponse(The load response characteristic of this load.  If missing, this load is assumed to be constant power.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PetersenCoil;1,PetersenCoil(A variable impedance device normally used to offset line charging during single line faults in an ungrounded section of network.)
dtmi:digitaltwins:ngsi_ld:cim:energy:EarthFaultCompensator;1,"EarthFaultCompensator(A conducting equipment used to represent a connection to ground which is typically used to compensate earth faults.   An earth fault compensator device modelled with a single terminal implies a second terminal solidly connected to ground.  If two terminals are modelled, the ground is not assumed and normal connection rules apply.) has the following children:PetersenCoil(A variable impedance device normally used to offset line charging during single line faults in an ungrounded section of network.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:TapChangerControl;1,"TapChangerControl, is connected to:TapChanger(Mechanism for changing transformer winding tap positions.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:DisconnectingCircuitBreaker;1,"DisconnectingCircuitBreaker(A circuit breaking device including disconnecting function, eliminating the need for separate disconnectors.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Breaker;1,"Breaker(A mechanical switching device capable of making, carrying, and breaking currents under normal circuit conditions and also making, carrying for a specified time, and breaking currents under specified abnormal circuit conditions e.g.  those of short circuit.) has the following children:DisconnectingCircuitBreaker(A circuit breaking device including disconnecting function, eliminating the need for separate disconnectors.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:TapChangerTablePoint;1,"TapChangerTablePoint(Describes each tap step in the tabular curve.) has the following children:PhaseTapChangerTablePoint(The points of this table.), RatioTapChangerTablePoint(Describes each tap step in the ratio tap changer tabular curve.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:ProtectedSwitch;1,"ProtectedSwitch(A ProtectedSwitch is a switching device that can be operated by ProtectionEquipment.) has the following children:Breaker(A mechanical switching device capable of making, carrying, and breaking currents under normal circuit conditions and also making, carrying for a specified time, and breaking currents under specified abnormal circuit conditions e.g.  those of short circuit.), LoadBreakSwitch(A mechanical switching device capable of making, carrying, and breaking currents under normal operating conditions.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:SeriesCompensator;1,SeriesCompensator(A Series Compensator is a series capacitor or reactor or an AC transmission line without charging susceptance.  It is a two terminal device.)
dtmi:digitaltwins:ngsi_ld:cim:energy:Jumper;1,Jumper(A short section of conductor with negligible impedance which can be manually removed and replaced if the circuit is de-energized. Note that zero-impedance branches can potentially be modelled by other equipment types.)
dtmi:digitaltwins:ngsi_ld:cim:energy:LoadBreakSwitch;1,"LoadBreakSwitch(A mechanical switching device capable of making, carrying, and breaking currents under normal operating conditions.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PhaseTapChangerTablePoint;1,"PhaseTapChangerTablePoint(The points of this table.), is connected to:PhaseTapChangerTable(The phase tap changer table for this phase tap changer.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PhaseTapChangerTable;1,"PhaseTapChangerTable(The phase tap changer table for this phase tap changer.), is connected to:PhaseTapChangerTabular(Describes a tap changer with a table defining the relation between the tap step and the phase angle difference across the transformer. ), PhaseTapChangerTablePoint(The points of this table.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:DCConductingEquipment;1,"DCConductingEquipment(The parts of the DC power system that are designed to carry current or that are conductively connected through DC terminals.) has the following children:DCLineSegment(A wire or combination of wires not insulated from one another, with consistent electrical characteristics, used to carry direct current between points in the DC region of the power system.), is connected to:DCTerminals(A DC conducting equipment has DC terminals.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:DCTerminal;1,DCTerminals(A DC conducting equipment has DC terminals.)
dtmi:digitaltwins:ngsi_ld:cim:energy:PowerTransformerEnd;1,"PowerTransformerEnd(The ends of this power transformer.), is connected to:connectionKind(Kind of connection.), PowerTransformer(An electrical device consisting of  two or more coupled windings, with or without a magnetic core, for introducing mutual coupling between electric circuits. Transformers can be used to control voltage and phase shift (active power flow).
A power transformer may be composed of separate transformer tanks that need not be identical.
A power transformer can be modelled with or without tanks and is intended for use in both balanced and unbalanced representations.   A power transformer typically has two terminal)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PowerTransformer;1,"PowerTransformer(An electrical device consisting of  two or more coupled windings, with or without a magnetic core, for introducing mutual coupling between electric circuits. Transformers can be used to control voltage and phase shift (active power flow).
A power transformer may be composed of separate transformer tanks that need not be identical.
A power transformer can be modelled with or without tanks and is intended for use in both balanced and unbalanced representations.   A power transformer typically has two terminal), is connected to:PowerTransformerEnd(The ends of this power transformer.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:StaticVarCompensator;1,"StaticVarCompensator(A facility for providing variable and controllable shunt reactive power. The SVC typically consists of a stepdown transformer, filter, thyristor-controlled reactor, and thyristor-switched capacitor arms.

The SVC may operate in fixed MVar output mode or in voltage control mode. When in voltage control mode, the output of the SVC will be proportional to the deviation of voltage at the controlled bus from the voltage setpoint.  The SVC characteristic slope defines the proportion.  If the voltage at the contro), is connected to:sVCControlMode"
dtmi:digitaltwins:ngsi_ld:cim:energy:SVCControlMode;1,sVCControlMode
dtmi:digitaltwins:ngsi_ld:cim:energy:AsynchronousMachine;1,"AsynchronousMachine(A rotating machine whose shaft rotates asynchronously with the electrical field.  Also known as an induction machine with no external connection to the rotor windings, e.g. squirrel-cage induction machine.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Disconnector;1,"Disconnector(A manually operated or motor operated mechanical switching device used for changing the connections in a circuit, or for isolating a circuit or equipment from a source of power. It is required to open or close circuits when negligible current is broken or made. )"
dtmi:digitaltwins:ngsi_ld:cim:energy:DCLineSegment;1,"DCLineSegment(A wire or combination of wires not insulated from one another, with consistent electrical characteristics, used to carry direct current between points in the DC region of the power system.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:GeneratingUnit;1,"GeneratingUnit(A single or set of synchronous machines for converting mechanical power into alternating-current power. For example, individual machines within a set may be defined for scheduling purposes while a single control signal is derived for the set. In this case there would be a GeneratingUnit for each member of the set and an additional GeneratingUnit corresponding to the set.) has the following children:SolarGeneratingUnit(A solar thermal generating unit, connected to the grid by means of a rotating machine.  This class does not represent photovoltaic (PV) generation.), NuclearGeneratingUnit(A nuclear generating unit.), ThermalGeneratingUnit(A thermal generating unit may have one or more fossil fuels.), HydroGeneratingUnits(The hydro generating unit belongs to a hydro power plant.), WindGeneratingUnits(A wind generating unit or units may be a member of a wind power plant.), is connected to:ControlAreaGeneratingUnit(ControlArea specifications for this generating unit.), GrossToNetActivePowerCurves(A generating unit may have a gross active power to net active power curve, describing the losses and auxiliary power requirements of the unit.), GeneratorControlSource(The source of controls for a generating unit.), RotatingMachine(A synchronous machine may operate as a generator and as such becomes a member of a generating unit.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:HydroPump;1,"HydroPumps(The hydro pump may be a member of a pumped storage plant or a pump for distributing water.), is connected to:RotatingMachine(A synchronous machine may operate as a generator and as such becomes a member of a generating unit.), HydroPowerPlant(A hydro power station which can generate or pump. When generating, the generator turbines receive water from an upper reservoir. When pumping, the pumps receive their water from a lower reservoir.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PhaseTapChangerTabular;1,"PhaseTapChangerTabular(Describes a tap changer with a table defining the relation between the tap step and the phase angle difference across the transformer. ), is connected to:PhaseTapChangerTable(The phase tap changer table for this phase tap changer.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Conductor;1,"Conductor(Combination of conducting material with consistent electrical characteristics, building a single electrical system, used to carry current between points in the power system.  ) has the following children:ACLineSegment(The line segment to which the cut is applied.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PowerElectronicsConnection;1,"PowerElectronicsConnection(A power electronics unit has a connection to the AC network.), is connected to:PowerElectronicsUnit(A generating unit or battery or aggregation that connects to the AC network using power electronics rather than rotating machines.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PowerElectronicsUnit;1,"PowerElectronicsUnit(A generating unit or battery or aggregation that connects to the AC network using power electronics rather than rotating machines.) has the following children:BatteryUnit(An electrochemical energy storage device.), PowerElectronicsWindUnit(A wind generating unit that connects to the AC network with power electronics rather than rotating machines or an aggregation of such units.), PhotoVoltaicUnit(A photovoltaic device or an aggregation of such devices.), is connected to:PowerElectronicsConnection(A power electronics unit has a connection to the AC network.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:DayType;1,DayType
dtmi:digitaltwins:ngsi_ld:cim:energy:Season;1,Season
dtmi:digitaltwins:ngsi_ld:cim:energy:Cut;1,"Cut(A cut separates a line segment into two parts. The cut appears as a switch inserted between these two parts and connects them together. As the cut is normally open there is no galvanic connection between the two line segment parts. But it is possible to close the cut to get galvanic connection.
The cut terminals are oriented towards the line segment terminals with the same sequence number. Hence the cut terminal with sequence number equal to 1 is oriented to the line segment's terminal with sequence number ), is connected to:ACLineSegment(The line segment to which the cut is applied.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:UsagePoint;1,"UsagePoint(Logical or physical point in the network to which readings or events may be attributed. Used at the place where a physical or virtual meter may be located; however, it is not required that a meter be present.), is connected to:relatedEquipment(connection to an equipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:EquivalentLoad;1,EquivalentLoad
dtmi:digitaltwins:ngsi_ld:cim:energy:Meter;1,"Meter(Physical asset that performs the metering role of the usage point. Used for measuring consumption and detection of events.), is connected to:MeterReading(Set of values obtained from the meter.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:MeterReading;1,MeterReading(Set of values obtained from the meter.)
dtmi:digitaltwins:ngsi_ld:cim:energy:ElectricVehicle;1,ElectricVehicle
dtmi:digitaltwins:ngsi_ld:city:EVChargingStation;1,
dtmi:digitaltwins:ngsi_ld:cim:energy:CustomerLoad;1,CustomerLoad
dtmi:igitaltwins:cim:energy:Battery;1,Battery(An example of a battery model)
dtmi:digitaltwins:ngsi_ld:cim:energy:HydroPowerPlant;1,"HydroPowerPlant(A hydro power station which can generate or pump. When generating, the generator turbines receive water from an upper reservoir. When pumping, the pumps receive their water from a lower reservoir.), is connected to:HydroPumps(The hydro pump may be a member of a pumped storage plant or a pump for distributing water.), HydroGeneratingUnits(The hydro generating unit belongs to a hydro power plant.), hydroPlantStorageType(The type of hydro power plant water storage.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:HydroPlantStorageKind;1,hydroPlantStorageType(The type of hydro power plant water storage.)
dtmi:digitaltwins:ngsi_ld:cim:energy:PhotoVoltaicUnit;1,PhotoVoltaicUnit(A photovoltaic device or an aggregation of such devices.)
dtmi:digitaltwins:ngsi_ld:cim:energy:GrossToNetActivePowerCurve;1,"GrossToNetActivePowerCurves(A generating unit may have a gross active power to net active power curve, describing the losses and auxiliary power requirements of the unit.), is connected to:GeneratingUnit(A single or set of synchronous machines for converting mechanical power into alternating-current power. For example, individual machines within a set may be defined for scheduling purposes while a single control signal is derived for the set. In this case there would be a GeneratingUnit for each member of the set and an additional GeneratingUnit corresponding to the set.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:WindGenUnitKind;1,windGenUnitType(The kind of wind generating unit.)
dtmi:digitaltwins:ngsi_ld:cim:energy:CogenerationPlant;1,"CogenerationPlant(A thermal generating unit may be a member of a cogeneration plant.), is connected to:ThermalGeneratingUnit(A thermal generating unit may have one or more fossil fuels.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:ThermalGeneratingUnit;1,"ThermalGeneratingUnit(A thermal generating unit may have one or more fossil fuels.), is connected to:FossilFuel(The fossil fuel consumed by the non-nuclear thermal generating unit.   For example, coal, oil, gas, etc.   These are the specific fuels that the generating unit can consume.), CogenerationPlant(A thermal generating unit may be a member of a cogeneration plant.), CAESPlant(Compressed air energy storage plant.), CombinedCyclePlant(A thermal generating unit may be a member of a combined cycle plant.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:SolarPowerPlant;1,"SolarPowerPlant, is connected to:SolarGeneratingUnit(A solar thermal generating unit, connected to the grid by means of a rotating machine.  This class does not represent photovoltaic (PV) generation.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:SolarGeneratingUnit;1,"SolarGeneratingUnit(A solar thermal generating unit, connected to the grid by means of a rotating machine.  This class does not represent photovoltaic (PV) generation.), is connected to:SolarPowerPlant"
dtmi:digitaltwins:ngsi_ld:cim:energy:WindGeneratingUnit;1,"WindGeneratingUnits(A wind generating unit or units may be a member of a wind power plant.), is connected to:WindPowerPlant(Wind power plant.), windGenUnitType(The kind of wind generating unit.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:WindPowerPlant;1,"WindPowerPlant(Wind power plant.), is connected to:WindGeneratingUnits(A wind generating unit or units may be a member of a wind power plant.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:HydroGeneratingUnit;1,"HydroGeneratingUnits(The hydro generating unit belongs to a hydro power plant.), is connected to:HydroPowerPlant(A hydro power station which can generate or pump. When generating, the generator turbines receive water from an upper reservoir. When pumping, the pumps receive their water from a lower reservoir.), turbineType(Type of turbine.), HydroEnergyConversionKind(Specifies the capability of the hydro generating unit to convert energy as a generator or pump.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:HydroEnergyConversionKind;1,HydroEnergyConversionKind(Specifies the capability of the hydro generating unit to convert energy as a generator or pump.)
dtmi:digitaltwins:ngsi_ld:cim:energy:HydroTurbineKind;1,turbineType(Type of turbine.)
dtmi:digitaltwins:ngsi_ld:cim:energy:ControlAreaGeneratingUnit;1,ControlAreaGeneratingUnit(ControlArea specifications for this generating unit.)
dtmi:digitaltwins:ngsi_ld:cim:energy:GeneratorControlSource;1,GeneratorControlSource(The source of controls for a generating unit.)
dtmi:digitaltwins:ngsi_ld:cim:energy:CAESPlant;1,"CAESPlant(Compressed air energy storage plant.), is connected to:ThermalGeneratingUnit(A thermal generating unit may have one or more fossil fuels.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:CombinedCyclePlant;1,CombinedCyclePlant(A thermal generating unit may be a member of a combined cycle plant.)
dtmi:digitaltwins:ngsi_ld:cim:energy:FossilFuel;1,"FossilFuel(The fossil fuel consumed by the non-nuclear thermal generating unit.   For example, coal, oil, gas, etc.   These are the specific fuels that the generating unit can consume.), is connected to:fossilFuelType(The type of fossil fuel, such as coal, oil, or gas.), ThermalGeneratingUnit(A thermal generating unit may have one or more fossil fuels.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:NuclearGeneratingUnit;1,NuclearGeneratingUnit(A nuclear generating unit.)
dtmi:digitaltwins:ngsi_ld:cim:energy:PowerElectronicsWindUnit;1,PowerElectronicsWindUnit(A wind generating unit that connects to the AC network with power electronics rather than rotating machines or an aggregation of such units.)
dtmi:digitaltwins:ngsi_ld:cim:energy:BatteryUnit;1,BatteryUnit(An electrochemical energy storage device.)
dtmi:digitaltwins:ngsi_ld:cim:energy:FuelType;1,"fossilFuelType(The type of fossil fuel, such as coal, oil, or gas.)"
